VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;-;12/5/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;;10/5/2021;SANTA FE;Rafaela;ecommerce
1;-;12/5/2021;;1;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;;10/5/2021;SANTA FE;Rafaela;ecommerce
1;-;13/5/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 100CMX190CM;;12/5/2021;SANTA FE;Rafaela;ecommerce
1;89354642;19/5/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;;12/5/2021;BUENOS AIRES;Trenque Lauquen ;ecommerce
1;89553744;31/5/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;;19/5/2021;SANTA CRUZ;RIO GALLEGOS;ecommerce
;;31/5/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;;19/5/2021;SANTA CRUZ;;ecommerce
1;-;29/5/2021;;1;CONJUNTO L. DALI TRADICIONAL 90CMX190CM;;25/5/2021;SANTA FE;RAFAELA;ecommerce
1;89576667;31/5/2021;;2;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;;25/5/2021;SANTA FE;SUNCHALES;ecommerce
;;31/5/2021;;3;ALMOHADAS L.SUPER SOFT 80CM;;25/5/2021;SANTA FE;;ecommerce
1;89524132;27/5/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;;25/5/2021;SANTA FE;SAN JORGE;ecommerce
1;89524515;27/5/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;;25/5/2021;CATAMARCA;CATAMARCA;ecommerce
1;89714542;27/5/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 3.999,00;26/5/2021;BUENOS AIRES;PIGUE;ecommerce
1;89549100;27/5/2021;;1;ALMOHADAS L.VELLÓN 70CM;$ 0,00;26/5/2021;SANTA FE;RECONQUISTA;ecommerce
1;89584160;31/5/2021;;2;ALMOHADAS L.COPO 70CM;$ 0,00;28/5/2021;NEUQUÉN;SENILLOSA;ecommerce
1;89629709;2/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;28/5/2021;MENDOZA;MENDOZA;ecommerce
1;89705803;2/6/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;28/5/2021;MENDOZA;MALARGUE;ecommerce
1;89355499;19/5/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;;10/5/2021;RÍO NEGRO;Cipolletti;ecommerce
1;89629900;2/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;28/5/2021;MENDOZA;GUAYMALLEN;ecommerce
1;89629992;2/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;28/5/2021;CÓRDOBA;CÓRDOBA;ecommerce
1;-;3/6/2021;;1;CONJUNTO L. DA VINCI TRADICIONAL 160CMX200CM;$ 0,00;29/5/2021;SANTA FE;RAFAELA;ecommerce
;;3/6/2021;;2;ALMOHADAS L.VELLÓN 70CM;;29/5/2021;SANTA FE;;ecommerce
1;89706473;4/6/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;$ 0,00;29/5/2021;BUENOS AIRES;BAHIA BLANCA;ecommerce
1;89628035;2/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;29/5/2021;BUENOS AIRES;DON TORCUATO;ecommerce
1;89628292;2/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;30/5/2021;SANTA FE;Villa Constitución;ecommerce
1;89628591;2/6/2021;;3;ALMOHADAS L.COPO 80CM;$ 0,00;30/5/2021;NEUQUÉN;Cutral Có;ecommerce
1;89749629;4/6/2021;;3;ALMOHADAS L.SUPER SOFT 80CM;$ 1.961,00;30/5/2021;SANTA FE;Sa Pereira;ecommerce
;;4/6/2021;;2;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;30/5/2021;SANTA FE;;ecommerce
1;89708356;2/6/2021;;1;CONJUNTO MARINERA L. MONET BLACK;$ 0,00;29/5/2021;SANTA CRUZ;PERITO MORENO;ecommerce
1;89738710;4/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 130CMX190CM;$ 0,00;31/5/2021;SAN JUAN;SAN JUAN;ecommerce
1;89721346;4/6/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;31/5/2021;NEUQUÉN;Cutral Có;ecommerce
;;4/6/2021;;1;ALMOHADAS L.SUPER SOFT 70CM;$ 0,00;31/5/2021;NEUQUÉN;;ecommerce
1;89689141;2/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;1/6/2021;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;ecommerce
;;2/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;1/6/2021;SANTIAGO DEL ESTERO;;ecommerce
1;89719678;4/6/2021;;1;CONJUNTO L. REMBRANDT TRADICIONAL 140CMX190CM;$ 0,00;1/6/2021;SAN LUIS;SAN LUIS;ecommerce
1;89719359;4/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;1/6/2021;ENTRE RÍOS;TABOSSI;ecommerce
1;89750091;4/6/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;2/6/2021;NEUQUÉN;BARRANCAS;ecommerce
1;89770370;15/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;2/6/2021;LA PAMPA;GENERAL PICO;ecommerce
1;89747869;4/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;3/6/2021;BUENOS AIRES;BAHIA BLANCA;ecommerce
1;89750991;4/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;3/6/2021;SANTA FE;SAN JORGE;ecommerce
