VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;;23/3/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;14/3/2023;BUENOS AIRES;Lomas De Zamora;fravega
1;;23/3/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;15/3/2023;RÍO NEGRO;Cipolletti;fravega
1;;19/4/2023;1-11-15-002;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;0;11/4/2023;BUENOS AIRES;Mar Del Plata;fravega
1;;19/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;14/4/2023;CÓRDOBA;Córdoba;fravega
1;;24/4/2023;1-15-36-003;2;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;18/4/2023;BUENOS AIRES;Quilmes;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;20/4/2023;BUENOS AIRES;El Palomar;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;20/4/2023;MENDOZA;Las Heras;fravega
1;;4/5/2023;1-15-36-003;2;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;20/4/2023;CÓRDOBA;Río Tercero;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;20/4/2023;BUENOS AIRES;Rafael Castillo;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;21/4/2023;BUENOS AIRES;Lujan;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;21/4/2023;BUENOS AIRES;Chacabuco;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;21/4/2023;TUCUMÁN;San Miguel De Tucumán;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;21/4/2023;BUENOS AIRES;Verónica;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;22/4/2023;ENTRE RÍOS;Paraná;fravega
1;;4/5/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;MENDOZA;San Rafael;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;BUENOS AIRES;Merlo;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;CORRIENTES;Chavarria;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;CORRIENTES;Chavarria;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;22/4/2023;CORRIENTES;Corrientes;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;22/4/2023;BUENOS AIRES;Virrey Del Pino;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;BUENOS AIRES;Muñiz;fravega
1;;28/4/2023;1-14-15-006;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;0;22/4/2023;MENDOZA;Godoy Cruz;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;BUENOS AIRES;Lanús;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;CAPITAL FEDERAL;Ciudad Autónoma Buenos Aires;fravega
1;;28/4/2023;1-15-36-003;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;22/4/2023;BUENOS AIRES;City Bell;fravega
