VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;88433027;26/4/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;;15/4/2021;CÓRDOBA;CANALS;megatone
1;88435317;26/4/2021;;1;ALMOHADAS L.VISCOÉLASTICA 80CM;;15/4/2021;CÓRDOBA;CANALS;megatone
1;88470935;20/4/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;;16/4/2021;BUENOS AIRES;CHACABUCO;megatone
1;88467626;20/4/2021;;1;ALMOHADAS L.SUPER SOFT 70CM;;16/4/2021;BUENOS AIRES;QUILMES;megatone
1;88466223;20/4/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;;16/4/2021;BUENOS AIRES;CHACABUCO;megatone
1;88467954;20/4/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;;16/4/2021;BUENOS AIRES;BERAZATEGUI;megatone
1;88598916;26/4/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 80CMX190CM;;22/4/2021;SANTA FE;ROSARIO;megatone
1;88809727;4/5/2021;;2;ALMOHADAS L.VELLÓN 80CM;;3/5/2021;CORRIENTES;LA CRUZ;megatone
1;88812938;4/5/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 140CMX190CM;;3/5/2021;CÓRDOBA;SEBASTIAN ELCANO;megatone
1;88824931;4/5/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;;3/5/2021;CORRIENTES;LA CRUZ;megatone
;;;;1;ALMOHADAS L.SUPER SOFT 80CM;;3/5/2021;CORRIENTES;LA CRUZ;megatone
1;88894483;7/5/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 200CMX200CM;;5/5/2021;MISIONES;EL DORADO;megatone
1;88876704;7/5/2021;;2;ALMOHADAS L.VELLÓN 80CM;;5/5/2021;TUCUMÁN;LOS RALOS;megatone
1;88919684;7/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;;6/5/2021;SANTA FE;ROSARIO;megatone
1;88999444;11/5/2021;;1;COLCHÓN L. PARÍS TRADICIONAL 140CMX190CM;;7/5/2021;CÓRDOBA;RIO DE LOS SAUCES;megatone
1;89044486;11/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;10/5/2021;LA RIOJA;LA RIOJA;megatone
;;11/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 100CMX190CM;0;10/5/2021;LA RIOJA;LA RIOJA;megatone
1;89046916;11/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;10/5/2021;CÓRDOBA;VILLA MARIA;megatone
1;89048119;11/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;10/5/2021;SANTA FE;SANTA FE ;megatone
1;89056389;11/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;10/5/2021;BUENOS AIRES;LANUS;megatone
1;89080728;12/5/2021;;2;COLCHÓN L. RELAX 22 TRADICIONAL 80CMX190CM;7;11/5/2021;NEUQUÉN;NEUQUÉN;megatone
1;89074305;12/5/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 140CMX190CM;8;11/5/2021;SANTA FE;ROSARIO;megatone
1;89087925;12/5/2021;;2;ALMOHADAS L.VELLÓN 80CM;0;11/5/2021;CORRIENTES;LA CRUZ ;megatone
;;12/5/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;0;11/5/2021;CORRIENTES;LA CRUZ;megatone
1;89127191;12/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;11/5/2021;BUENOS AIRES;NECOCHEA;megatone
1;89100577;12/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;11/5/2021;CÓRDOBA;BARRIO LOS OLMOS;megatone
1;89103754;12/5/2021;;1;CONJUNTO L. PREMIUM TRADICIONAL 160CMX200CM;0;11/5/2021;CÓRDOBA;CÓRDOBA;megatone
1;89125405;12/5/2021;;1;CONJUNTO L. ATENAS TRADICIONAL 160CMX200CM;10;11/5/2021;CÓRDOBA;BRINKMANN;megatone
1;89125823;12/5/2021;;1;CONJUNTO L. DUBÁI TRADICIONAL 180CMX200CM;10;11/5/2021;TIERRA DEL FUEGO;RIO GRANDE;megatone
1;89125574;12/5/2021;;1;COLCHÓN L. RIO TRADICIONAL 140CMX190CM;7;12/5/2021;BUENOS AIRES;SAN ANDRES DE LOS GILES ;megatone
1;89153970;13/5/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 140CMX190CM;7;12/5/2021;BUENOS AIRES;OLIVOS ;megatone
1;89128926;13/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;12/5/2021;CÓRDOBA;HORNILLOS;megatone
1;89203225;17/5/2021;;1;COLCHÓN L. ATENAS TRADICIONAL 160CMX200CM;8;13/5/2021;BUENOS AIRES;QUILMES OESTE;megatone
1;89203201;17/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;13/5/2021;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;megatone
1;89250075;17/5/2021;;1;CONJUNTO L. ATENAS TRADICIONAL 140CMX190CM;10;13/5/2021;BUENOS AIRES;MANUEL B. GONNET;megatone
1;89205086;17/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;13/5/2021;CÓRDOBA;CÓRDOBA;megatone
1;89207964;17/5/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;13/5/2021;CÓRDOBA;ALTA GRACIA;megatone
1;89210581;17/5/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 80CMX190CM;7;13/5/2021;LA PAMPA;INTENDENTE ALVEAR;megatone
1;89213486;17/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;13/5/2021;CÓRDOBA;RIO SUGUNDO;megatone
1;89191282;17/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;13/5/2021;SANTA FE;SAN VICENTE;megatone
1;89201759;17/5/2021;;2;ALMOHADAS L.VELLÓN 80CM;0;13/5/2021;SANTA FE;RAFAELA ;megatone
1;89162586;17/5/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 100CMX190CM;0;12/5/2021;CÓRDOBA;PILAR;megatone
1;89230363;17/5/2021;;1;COLCHÓN L. GRANATE TRADICIONAL 140CMX190CM;8;13/5/2021;CÓRDOBA;DEAN FUNES;megatone
1;89245039;17/5/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;8;13/5/2021;CÓRDOBA;LAGUNA LARGA;megatone
1;89150762;17/5/2021;;1;COLCHÓN L. ATENAS TRADICIONAL 140CMX190CM;8;13/5/2021;BUENOS AIRES;VILLA BOSCH;megatone
1;89248910;17/5/2021;;1;CONJUNTO L. MARINERA TRADICIONAL 90CMX190CM AZUL;0;13/5/2021;CÓRDOBA;JUSTINIANO POSSE;megatone
1;89255058;17/5/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;8;13/5/2021;SANTA FE;NELSON;megatone
1;89260613;17/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 90CMX190CM;0;14/5/2021;SANTA FE;ROSARIO;megatone
1;89279196;17/5/2021;;1;CONJUNTO L. ATENAS TRADICIONAL 140CMX190CM;10;12/5/2021;CÓRDOBA;LAS ARRIAS;megatone
1;89154048;17/5/2021;;1;COLCHÓN L. MONACO TRADICIONAL 140CMX190CM;8;12/5/2021;FORMOSA;FORMOSA;megatone
1;89198322;17/5/2021;;1;CONJUNTO L. ATENAS TRADICIONAL 160CMX200CM;10;12/5/2021;BUENOS AIRES;DON TORCUATO;megatone
1;89280277;17/5/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;13/5/2021;TUCUMÁN;SAN MIGUEL DE TUCUMÁN ;megatone
1;89285064;19/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;15/5/2021;SANTA FE;RAFAELA;megatone
1;89288754;19/5/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 160CMX200CM;8;15/5/2021;CÓRDOBA;MONTE BUEY;megatone
1;89217946;19/5/2021;;1;COLCHÓN L. RIO TRADICIONAL 140CMX190CM;7;13/5/2021;CÓRDOBA;JUSTINIANO POSSE;megatone
1;89375663;19/5/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;8;14/5/2021;CÓRDOBA;CAPILLA DEL SITON;megatone
1;89544379;31/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;7;13/5/2021;BUENOS AIRES;LOS POLVORINES;megatone
1;89223683;19/5/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 140CMX190CM;7;13/5/2021;BUENOS AIRES;CAPITAL FEDERAL/VALENTIN GOMEZ;megatone
1;89318944;19/5/2021;;1;COLCHÓN L. ATENAS TRADICIONAL 140CMX190CM;0;17/5/2021;CÓRDOBA;CAPILLA DEL SITON;megatone
1;89319014;19/5/2021;;1;COLCHÓN L. GRANATE TRADICIONAL 180CMX200CM;0;17/5/2021;MENDOZA;SAN RAFAEL;megatone
1;89319041;19/5/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;17/5/2021;NEUQUÉN;NEUQUÉN;megatone
1;89318941;19/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;17/5/2021;CHACO;VILLA ANGELA ;megatone
1;89328622;19/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;17/5/2021;CÓRDOBA;CAPILLA DEL SITON;megatone
1;89333056;19/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;17/5/2021;MENDOZA;LAS HERAS;megatone
1;89335572;19/5/2021;;1;ALMOHADAS L.VELLÓN 70CM;0;17/5/2021;BUENOS AIRES;MARTINEZ;megatone
1;89353625;19/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;17/5/2021;BUENOS AIRES;SANTOS LUGARES ;megatone
1;89356488;27/5/2021;;1;CONJUNTO L. PREMIUM TRADICIONAL 180CMX200CM;0;17/5/2021;CÓRDOBA;CÓRDOBA;megatone
1;89367666;27/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;18/5/2021;CORRIENTES;TABAY;megatone
1;89411552;27/5/2021;;1;COLCHÓN L. ATENAS TRADICIONAL 140CMX190CM;0;20/5/2021;CORRIENTES;LA CRUZ;megatone
1;89437824;27/5/2021;;1;ALMOHADAS L.COPO 70CM;0;19/5/2021;NEUQUÉN;CENTENARIO;megatone
1;89450915;27/5/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 160CMX200CM;0;21/5/2021;MENDOZA;MAYOR DRUMMOND;megatone
1;89455425;27/5/2021;;1;ALMOHADAS L.PLACA 70CM;0;21/5/2021;SANTA FE;VENADO TUERTO;megatone
1;89461846;27/5/2021;;1;CONJUNTO L. PREMIUM TRADICIONAL 200CMX200CM;0;21/5/2021;BUENOS AIRES;RAFAELA CALZADA;megatone
1;89503587;31/5/2021;;1;COLCHÓN L. ATENAS TRADICIONAL 160CMX200CM;0;25/5/2021;MENDOZA;BARRIO UNIMEV;megatone
1;89511424;27/5/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 80CMX190CM;0;26/5/2021;SANTA FE;ROSARIO;megatone
1;89510224;31/5/2021;;2;COLCHÓN L. RELAX 22 TRADICIONAL 90CMX190CM;0;26/5/2021;CÓRDOBA;CÓRDOBA;megatone
1;89512814;31/5/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;7;26/5/2021;SAN LUIS;SAN LUIS;megatone
1;89533749;31/5/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 140CMX190CM;0;26/5/2021;BUENOS AIRES;TAPIALES;megatone
1;89592856;31/5/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;8;26/5/2021;LA PAMPA;INTENDENTE ALVEAR;megatone
1;89603260;31/5/2021;;1;ALMOHADAS L.COPO 80CM;0;26/5/2021;ENTRE RÍOS;PARANA;megatone
1;89610321;31/5/2021;;2;ALMOHADAS L.VELLÓN 70CM;0;29/5/2021;BUENOS AIRES;LANUS;megatone
1;89608715;31/5/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 80CMX190CM;0;29/5/2021;BUENOS AIRES;PILAR;megatone
1;89641895;2/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 90CMX190CM;0;31/5/2021;SAN JUAN;POCITO;megatone
1;89651899;2/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;31/5/2021;BUENOS AIRES;SAN ISIDRO;megatone
1;89711293;4/6/2021;;1;CONJUNTO L. DUBÁI TRADICIONAL 180CMX200CM;0;31/5/2021;CORRIENTES;ALVEAR;megatone
1;89707704;4/6/2021;;2;ALMOHADAS L.VISCOÉLASTICA 80CM;0;2/6/2021;SANTA FE;ROSARIO;megatone
1;89707090;4/6/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 140CMX190CM;0;2/6/2021;TUCUMÁN;FINCA MAYO;megatone
;;;;1;COLCHÓN L. RELAX 22 TRADICIONAL 100CMX190CM;0;2/6/2021;TUCUMÁN;;megatone
1;89738393;4/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;3/6/2021;ENTRE RÍOS;ROSARIO DEL TALA;megatone
1;89826026;15/6/2021;;1;ALMOHADAS L.COPO 70CM;0;4/6/2021;NEUQUÉN;NEUQUÉN;megatone
1;89883052;15/6/2021;;2;ALMOHADAS L.VISCOÉLASTICA 70CM;0;8/6/2021;BUENOS AIRES;RINGUELET;megatone
1;89898023;15/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;17/5/2021;CÓRDOBA;LAGUNA LARGA;megatone
