VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90420384;2/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;0;29/6/2021;SANTA CRUZ;28 de noviembre;mercadolibre
1;90687982;13/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;0;9/7/2021;NEUQUÉN;Buta Ranquil;mercadolibre
1;90725895;15/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 90CMX190CM;0;13/7/2021;BUENOS AIRES;SAN PEDRO;mercadolibre
1;91903387;1/9/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;0;30/7/2021;SANTA FE;Villa Minetti;mercadolibre
1;92491934;28/9/2021;;1;CONJUNTO L. DALI TRADICIONAL 90CMX190CM;0;24/9/2021;CÓRDOBA;CORDOBA;mercadolibre
1;92819438;13/10/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;0;8/9/2021;BUENOS AIRES;LAPRIDA;mercadolibre
1;93684307;16/11/2021;;1;CONJUNTO L. DALI TRADICIONAL 90CMX190CM;0;15/11/2021;RÍO NEGRO;GENERAL ROCA;mercadolibre
1;94367675;16/12/2021;;1;CONJUNTO L. REMBRANDT TRADICIONAL 140CMX190CM;0;13/12/2021;SANTA FE;MACIEL;mercadolibre
1;94684156;31/12/2021;;1;CONJUNTO L. VASARI TRADICIONAL 100CMX190CM;0;28/12/2021;MENDOZA;SAN RAFAEL;mercadolibre
1;94729908;31/12/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 80CMX190CM;0;30/12/2021;BUENOS AIRES;LA EMILIA;mercadolibre
1;94885878;12/1/2022;;1;CONJUNTO L. DALI TRADICIONAL 90CMX190CM;0;6/1/2022;CÓRDOBA;Cruz del Eje;mercadolibre
